termino,etiqueta,significado,traduccion_1,traduccion_2,traduccion_3,traduccion_4,
Gongoroko,Sustantivo,Comida para niños pequeños o dulce sencillo.,Alimento para bebé,Caramelo,,,
Gongorokó,Sustantivo,Sentimiento profundo de cariño y afecto.,Amor,,,,
Goppeá,Verbo infinitivo,Dar golpes o castigar físicamente.,Golpear,,,,
Goppeéno,Imperativo plural,Den golpes o castiguen físicamente.,Golpeen,,,,
Góro,Sustantivo,Persona identificada con el partido conservador.,Partido conservador,,,,
Gorogó,Sustantivo,"Sombra oscura, área sin luz.",Sombra,Oscuridad,,,
Guachapitá,Adjetivo,Algo mal hecho o de baja calidad.,Mal hecho,Inaceptable,,,
Guajúpa,Sustantivo,Persona considerada poco inteligente.,Zopenco,,,,
Guandandá,Sustantivo,"Insecto conocido por tejer telas, como la araña.",Araña,,,,
Guapirrúcho,Sustantivo,Roedor pequeño de cola larga.,Ratón,,,,
Guarulao,Adjetivo,"Limpio, libre de suciedad.",Limpio,,,,
Guarumá,Sustantivo plural,Conjunto de seres vivos en un entorno natural.,Seres vivos,,,,
Guarumako,Sustantivo/Adjetivo,"Blanco, de color claro o etnicidad blanca.",Blanco,,,,
Guatiá,Verbo infinitivo,Dirigir la vista hacia algo para observarlo con atención.,Mirar,Observar,Ver,,
Guatiéno,Imperativo plural,Dirijan la vista hacia algo para observarlo.,Miren,Observen,Vean,,
Guayúyo,Sustantivo,Árbol característico de San Basilio de Palenque.,Árbol,,,,
Güéno,Adjetivo,Algo que tiene calidad o es positivo.,Bueno,,,,
Güéso,Sustantivo,Estructura ósea del cuerpo de los animales.,Hueso,,,,
i,Conjunción / Nexo subordinante,"Palabra que une dos frases o elementos. Se distingue por ser un conector específico que aparece en ciertas estructuras, proporcionando una relación entre la oración principal y la subordinada.",y,,,,
I,Pronombre personal,Forma de referirse a uno mismo.,Yo,,,,
í-simo,Sufijo,Forma diminutiva usada después de adjetivos.,Muy pequeño,,,,
Icha,Sustantivo,Palabra relacionada con suerte o fortuna.,Dicha,,,,
Ichá,Verbo infinitivo,Acción de verter o tirar algo.,Echar,Verter,,,
Ichéno,Imperativo plural,Viértan o tiren algo.,Echen,Viertan,,,
Idke,Expresión,Palabra que se usa para atribuir algo incierto o dudoso.,Dizque,,,,
ígaro,Sustantivo,"Órgano interno del cuerpo, parte del sistema digestivo.",Hígado,,,,
Ijopáe,Expresión,Afirmación enfática de algo.,Claro que sí,Así es,,,
Ikiédda,Sustantivo,Dirección opuesta a la derecha.,Lado izquierdo,,,,
Ilésa,Sustantivo,Edificio o lugar para prácticas religiosas.,Iglesia,,,,
Ilesia,Sustantivo,"Variante de la palabra ""iglesia"".",Iglesia,,,,
Ilombo,Sustantivo,Ave asociada con presagios negativos.,Pájaro de malas noticias,,,,
Ilongó,Verbo infinitivo,Acción de despojar a alguien de sus valores humanos.,Deshumanizar,,,,
Ilongóno,Imperativo plural,Despojen a alguien de sus valores humanos.,Deshumanicen,,,,
Imbá - imba,Adjetivo,Algo inútil o sin propósito.,Inútil,,,,
Imbaimbá,Verbo infinitivo,Hablar de manera incoherente o sin sentido.,Hablar incoherencias,,,,
Imbaimbéno,Imperativo plural,Hablen de manera incoherente o sin sentido.,Hablen incoherencias,,,,
imbitá,Verbo infinitivo,Invitar a alguien a un lugar o actividad.,Invitar,,,,
Imbiténo,Imperativo plural,Inviten a alguien a un lugar o actividad.,Inviten,,,,
Immateriá,Adjetivo,Algo que no es físico o tangible.,Inmaterial,Espiritual,,,
Impottánsia,Sustantivo,Algo de gran valor o relevancia.,Importancia,,,,
Impottánte,Adjetivo,Algo significativo o relevante.,Importante,,,,
Inchéta,Sustantivo,Argumento o razón válida.,Razón,Argumento,,,
Inchetero,Sustantivo,Persona que no dice la verdad.,Mentiroso,,,,
Indende,Sustantivo,Persona considerada con bajo nivel de comprensión.,Idiota,Retardado,,,
Indiká,Verbo infinitivo,Señalar o mostrar algo a alguien.,Indicar,,,,
Indikéno,Imperativo plural,Señalen o muestren algo a alguien.,Indiquen,,,,
Informasion,Sustantivo,Conjunto de datos o conocimiento transmitido.,Información,,,,
Inguelá,Sustantivo,Piedra blanca encontrada en arroyos.,Piedrecita blanca,Piedra china,,,
Inrependensia,Sustantivo,Estado de ser autónomo o libre.,Independencia,,,,
Insiñá,Verbo infinitivo,Transmitir conocimiento o instrucción.,Enseñar,,,,
Insiñéno,Imperativo plural,Transmitan conocimiento o instrucción.,Enseñen,,,,
Intauta,Adjetivo,Mujer en estado de incomodidad física o emocional.,Indispuesta,Descompuesta,,,
Irentirá,Sustantivo,Sentimiento o concepto de pertenencia cultural.,Identidad,,,,
Itoría,Sustantivo,Narración de eventos pasados o sucesos.,Historia,,,,
Itrummento,Sustantivo,Herramienta o aparato utilizado para una actividad.,Instrumento,,,,
Jablá,Verbo infinitivo,Acción de explicar algo a alguien.,Explicar,,,,
Jabléno,Imperativo plural,Expliquen algo a alguien.,Expliquen,,,,
Jabó,Sustantivo,Sustancia usada para limpiar o lavar.,Jabón,,,,
Jacha,Sustantivo,Herramienta usada para cortar madera o romper tierra.,Hacha,,,,
Jácha,Sustantivo,"Variante fonética de ""hacha"".",Hacha,,,,
Jáki jáki,Expresión,Movimiento constante e inestable.,Brincoteo,Inestabilidad,Aquí y allá,,
Jakurungú,Sustantivo,Recipiente plano usado para contener alimentos.,Plato,,,,
Jalopiá,Verbo infinitivo,Acción de empujar o dar impulso a algo o alguien.,Impulsar,,,,
Jalopiéno,Imperativo plural,Empujen o den impulso a algo o alguien.,Impulsen,,,,
Jamáka,Sustantivo,Red colgante usada para descansar o dormir.,Hamaca,,,,
Jaña,Sustantivo,Insistencia repetitiva o discurso constante.,Cantaleta,,,,
jaño,Sustantivo,Período de 365 días.,Año,,,,
Jarana,Sustantivo,"Bulla, ruido desordenado o fiesta ruidosa.",Bulla,,,,
Jaraníta,Sustantivo,"Fiesta o reunión animada con música, generalmente de acordeón.",Parranda,Música con acordeón,Fiesta,,
Jarochería,Sustantivo,Estado de felicidad o alegría.,Felicidad,,,,
Jarocho,Adjetivo,Persona o cosa con carácter alegre y vivaz.,Alegre,,,,
Jarriá,Verbo infinitivo,"Acto de cargar, mover o traer algo de un lugar a otro.",Cargar,Traer,Mover,,
Jarriéno,Imperativo plural,"Carguen, muevan o traigan algo de un lugar a otro.",Carguen,Traigan,Muevan,,
Jarrocheria,Sustantivo,Actividad recreativa o entretenimiento.,Juego,,,,
Jasajasa,Sustantivo,Sensación de picor o escozor en la piel.,Rasquiña,,,,
Jáso,Sustantivo,Bolsa grande hecha de tela resistente.,Saco,,,,
Jattera,Sustantivo,Sensación de cansancio o fastidio extremo.,Hartera,,,,
Jatto,Adjetivo,Persona que ha comido o bebido en exceso.,Harto,,,,
Jayá,Verbo infinitivo,Acción de encontrar algo o a alguien.,Hallar,Encontrar,,,
Jayéno,Imperativo plural,Encuentren algo o a alguien.,Hallen,Encuentren,,,
Jebra,Sustantivo,Hilo delgado o filamento.,Hebra,,,,
Jecha,Sustantivo,Fecha importante o tema central de un asunto.,Fecha,Asunto,,,
Jégga,Sustantivo,Lenguaje coloquial o informal.,Jerga,,,,
Jelé,Verbo infinitivo,Acción de despedir o emitir un olor.,Despedir,Oler,,,
Jeléno,Imperativo plural,Despidan o emitan un olor.,Despidan,Huelan,,,
Jembra,Sustantivo,Persona de sexo femenino.,Hembra,,,,
Jemplá,Sustantivo,Caso o situación que sirve de referencia.,Ejemplo,,,,
Jende,Sustantivo colectivo,Conjunto de personas.,Gente,,,,
Jerentina,Sustantivo,Aroma desagradable que produce desagrado.,Olor desagradable,,,,
Jerionda,Adjetivo,Persona grosera o cosa con mal olor.,Grosero,Algo maloliente,,,
Jérre ke jérre,Expresión,Discusión intensa o pelea constante.,Disputa,Controversia,,,
Jetepié,Sustantivo,Juego tradicional practicado durante velorios.,Juego,,,,
Jigüereta,Sustantivo,Planta medicinal utilizada para tratar fiebre y escalofríos.,Planta medicinal,,,,
Jinchao,Adjetivo,Algo inflamado o hinchado.,Hinchado,Inflamación,,,
Jinká,Verbo infinitivo,Clavar o fijar algo con fuerza.,Hincar,,,,
Jinkéno,Imperativo plural,Claven o fijen algo con fuerza.,Hinquen,,,,
Jíñí,Verbo infinitivo,Hablar de manera reiterativa o quejarse constantemente.,Cantaletear,,,,
Jíñi jáña,Sustantivo,Regaño o reprimenda prolongada.,Regaño,,,,
Jíñíno,Imperativo plural,Hablen de manera reiterativa o quejense constantemente.,Cantaleteen,,,,
Jipato,Adjetivo,Persona con la piel sonrojada o roja.,Colorao,,,,
Jipiá,Verbo infinitivo,Acción de llorar suavemente o sollozar.,Sollozar,,,,
Jipiéno,Imperativo plural,Lloren suavemente o sollozen.,Sollozen,,,,
Jiraka,Sustantivo,Planta usada para fabricar tejidos artesanales.,Iraca,,,,
Jirí,Verbo infinitivo,Causar una lesión o daño físico.,Herir,,,,
Jirila,Sustantivo,Lesión o corte en el cuerpo.,Herida,,,,
Jiríno,Imperativo plural,Causen una lesión o daño físico.,Hieran,,,,
Jobéro,Sustantivo,Persona que utiliza paños para cubrirse.,Persona con paños,,,,
Jochá,Verbo infinitivo,Insistir o perseguir a alguien de manera persistente.,Acosar,Insistir,Perseguir,,
Jochéno,Imperativo plural,Insistan o persigan a alguien de manera persistente.,Acosen,Insistan,Persigan,,
Jogá,Verbo infinitivo,Acción de impedir la respiración.,Ahogar,,,,
Jogéno,Imperativo plural,Impidan la respiración de alguien.,Ahoguen,,,,
Jokká,Verbo infinitivo,Acción de estrangular o apretar el cuello.,Ahorcar,,,,
Jokkéno,Imperativo plural,Estrangulen o aprieten el cuello de alguien.,Ahorquen,,,,
Jokkón,Sustantivo,Palo usado como soporte o base.,Horcón,,,,
Jolé,Verbo infinitivo,"Molestar, fastidiar o importunar.",Joder,,,,
Joléno,Imperativo plural,"Molesten, fastidien o importunen a alguien.",Jodan,,,,
Jondo,Adjetivo,Algo profundo o con gran profundidad.,Hondo,,,,
Joré,Verbo infinitivo,Acción de mantener relaciones sexuales.,Tener sexo,,,,
Joréno,Imperativo plural,Mantengan relaciones sexuales.,Tengan sexo,,,,
Jorompó,Sustantivo,Recipiente pequeño para uso personal (orinal).,Bacinilla,,,,
Joyo,Sustantivo,Hueco o cavidad en el suelo.,Hoyo,,,,
Juánga,Sustantivo,Práctica de magia o hechicería.,Brujería,,,,
Juangalelé,Sustantivo,Sustancia venenosa.,Veneno,,,,
Juansúko,Adjetivo,Algo inmóvil o sin vida.,Inerte,,,,
Jue,Verbo infinitivo,Expresión de ser o haber sido algo.,Es,Fue,,,
JUÉ,Verbo copulativo (Pretérito),"Forma del verbo ""ser"" en pretérito indefinido. Usado para hablar del pasado.",Fui,Fuiste,Fue,,
Juéla,Adverbio,Palabra que indica movimiento hacia afuera.,Fuera,,,,
Juéno,Imperativo plural,Sean o muestren que algo ha sido.,Sean,Hayan sido,,,
Juguá,Verbo infinitivo,Realizar actividades recreativas o de entretenimiento.,Jugar,,,,
Juguéno,Imperativo plural,Realicen actividades recreativas o de entretenimiento.,Jueguen,,,,
Juláno,Sustantivo,Persona cuyo nombre no se menciona.,Fulano,,,,
Jumá,Verbo infinitivo,Acción de consumir tabaco en forma de humo.,Fumar,,,,
Juméno,Imperativo plural,Consuman tabaco en forma de humo.,Fumen,,,,
Jundá,Verbo infinitivo,Reunir o agrupar cosas o personas.,Juntar,,,,
Jundéno,Imperativo plural,Reúnan o agrupen cosas o personas.,Junten,,,,
Jundo,Sustantivo,Grupo o reunión de personas o cosas.,Conjunto,Juntos,Unido,,
Jupia,Verbo infinitivo,Acción de provocar a un perro para que ataque.,Incitar a un perro a morder,Echar los perros,,,
Jupiéno,Imperativo plural,Provóquen a un perro para que ataque.,Inciten al perro,Echen los perros,,,
Júria,Sustantivo,Sentimiento de ira o enojo extremo.,Furia,,,,
Jurojúro,Sustantivo,Pelea o discusión acalorada.,Riña,,,,
Júru juro,Expresión,Situación problemática o de conflicto.,Problema,,,,
Jusuíta,Sustantivo,Persona que tiende a difundir rumores o chismes.,Chismoso,,,,
Jutá,Verbo infinitivo,Acción de tomar algo ajeno sin permiso.,Robar,,,,
Jutaro,Sustantivo,Persona que roba cosas ajenas.,Ratero,Ladrón,,,
Juténo,Imperativo plural,Tomen algo ajeno sin permiso.,Roben,,,,
Kabá,Verbo infinitivo,Finalizar o dar término a algo.,Acabar,,,,
Kabayíto,Sustantivo,Postre típico hecho con papaya.,Dulce de papaya,,,,
Kabbidánte,Sustantivo,Persona que lidera o representa a un grupo.,Representante,Líder,,,
Kabbón,Sustantivo,Residuo sólido negro usado como combustible.,Carbón,,,,
Kábe,Sustantivo,Juego tradicional con bolitas de cristal.,Juego con bola de cristal,,,,
Kabéno,Imperativo plural,Finalicen o den término a algo.,Acaben,,,,
Kabéo,Sustantivo,Filamentos que crecen en la cabeza.,Cabello,,,,
Kabésa,Sustantivo,Parte superior del cuerpo que contiene el cerebro.,Cabeza,,,,
Kaboka,Verbo infinitivo,Acción de quedarse en silencio o no hablar.,Callarse,,,,
Kabokéno,Imperativo plural,Quédense en silencio o no hablen.,Callen,,,,
Kabrí,Verbo infinitivo,Subir o montar algo o a alguien en un lugar elevado.,Encaramar,Montar,,,
Kabríno,Imperativo plural,Suban o monten algo o a alguien en un lugar elevado.,Encaramen,Monten,,,
Kabúngo,Adjetivo,Algo que se encuentra a poca altura o nivel.,Bajo,,,,
Kácha,Sustantivo,Parte que sirve como soporte de algo.,Mango de,,,,
Kachégua,Sustantivo,"Lesión en los labios, especialmente en la comisura.",Herida que se forma en la comisura del labio,,,,
Kachenche,Sustantivo,Persona que gusta de hablar sobre otros.,Chismoso,,,,
Kachíkachi,Expresión,Acción o estado de repetición continua.,En cualquier momento,Sin interrupción,Continuidad,,
Kachimba,Sustantivo,Instrumento para fumar tabaco.,Pipa,,,,
Kácho,Sustantivo,Proyección ósea o curva como las de los animales.,Cacho,Cuerno,,,
Kaddéro,Sustantivo,Recipiente grande utilizado para cocinar.,Caldero,,,,
Kaddume,Sustantivo,Tiempo venidero o lo que está por suceder.,Futuro,Camino,,,
Kadson,Sustantivo,"Pantalón, prenda de vestir que cubre las piernas.",Pantalón,,,,
Kagriso,Sustantivo,Lugar donde se guardan animales domésticos.,Casa de animales,,,,
Kaí,Verbo infinitivo,Descender o perder el equilibrio.,Caer,,,,
Kaijú,Sustantivo,Bulbo usado como condimento en la cocina.,Ajo,,,,
Kaíno,Imperativo plural,Desciendan o pierdan el equilibrio.,Caigan,,,,
Kajambá,Sustantivo,Ave conocida por su relación con supersticiones.,Pájaro que anuncia la muerte,,,,
Kajangarí,Sustantivo,Libro que contiene definiciones de palabras.,Diccionario,,,,
Kajomba,Sustantivo,Ave de la región.,Ave,,,,
Kakañá,Sustantivo,"Parte posterior del pie, detrás del talón.",Talón,,,,
Káki káki,Adjetivo,Cabello en forma de rizos pequeños o ensortijado.,Cabello ensortijado,,,,
Kakkóma,Verbo infinitivo,Acto de tratar a alguien con desprecio o indiferencia.,Menospreciar,,,,
Kakkómeno,Imperativo plural,Traten a alguien con desprecio o indiferencia.,Menosprecien,,,,
Kakláka,Adjetivo / Sustantivo,"Persona o cosa simple, sin refinamiento.",Corroncho,,,,
Kakosío,Sustantivo,Prenda inferior masculina que cubre desde la cintura hasta los muslos.,Calzón masculino,,,,
Kala,Sustantivo,Parte frontal de la cabeza que muestra expresión.,Cara,Rostro,,,
Kalabongó,Sustantivo,Insecto luminoso nocturno.,Luciérnaga,,,,
Kalambuko,Sustantivo,Recipiente usado para contener líquidos o alimentos.,Recipiente,,,,
Kaliénte,Adjetivo,Algo que tiene alta temperatura.,Caliente,,,,
Kalumbá,Verbo infinitivo,"Saltar, impulsarse hacia arriba.",Saltar,Brincar,,,
Kalumbéno,Imperativo plural,Salten o impúlsense hacia arriba.,Salten,Brinquen,,,
Kamamboyo,Sustantivo,Planta que se consume como alimento.,Planta comestible,,,,
Kamanduléro,Adjetivo,Persona astuta o muy hábil para resolver situaciones.,Avispado,Astuto,,,
Kambamba,Adjetivo,Algo negativo o aburrido.,Malo,Aburrido,,,
Kambembe,Sustantivo / Adjetivo,Persona que practica la brujería.,Brujo,Bruja,,,
Kambiá,Verbo infinitivo,"Modificar, transformar o sustituir algo.",Cambiar,,,,
Kambiéno,Imperativo plural,"Modifiquen, transformen o sustituyan algo.",Cambien,,,,
Kambimbéro,Sustantivo,Persona que busca emociones o experiencias intensas.,Aventurero,,,,
Kamisola,Sustantivo,"Pijama, ropa para dormir.",Pijama,,,,
Kamonína,Sustantivo,"Engaño, acto de actuar con malicia o broma.",Engaño,Malicia,Broma,,
Kamora,Sustantivo,Sensación de incomodidad o fastidio.,Molestia,,,,
Kampía,Adjetivo,Persona o cosa que se mueve rápidamente.,Veloz,Correndilla,,,
Kampintante,Sustantivo,"Líder, persona que guía o dirige a otros.",Líder,,,,
Kanatulé,Sustantivo,Falta de comida o alimento.,Hambre,,,,
Kanaulé,Sustantivo,Estado de carencia o insuficiencia.,Necesidad,,,,
Kandá,Verbo infinitivo,Acción de producir música con la voz.,Cantar,,,,
Kandéno,Imperativo plural,Produzcan música con la voz.,Canten,,,,
Kandileja,Sustantivo,Hueso largo que conecta el brazo con el tórax.,Clavícula,,,,
Kandilero,Sustantivo,Noticias o eventos provenientes de lugares lejanos.,Noticia extranjera,,,,
Kanduliá,Verbo infinitivo,Golpear con un objeto o maltratar físicamente.,Pegar,Maltratar con un objeto,,,
Kanduliéno,Imperativo plural,Golpeen con un objeto o maltraten físicamente.,Peguen,Maltraten con un objeto,,,
Kanía,Sustantivo,Hueso delgado y largo que da forma a la pierna.,Canilla,,,,
Kaniná,Verbo infinitivo,Acción de desplazarse a pie.,Caminar,,,,
Kaninéno,Imperativo plural,Desplácense a pie.,Caminen,,,,
Kankamaján,Sustantivo,Representante de la ley o figura de autoridad pública.,Autoridad Pública,,,,
Kánkamo,Sustantivo,Formación anómala o masa en el cuerpo (tumor maligno).,Tumor maligno,,,,
Kankaniá,Verbo infinitivo,Acto de interpretar o descifrar letras o textos.,Leer,,,,
Kankaniéno,Imperativo plural,Interpreten o descifren letras o textos.,Lean,,,,
Kanklón,Adjetivo,Persona de actitud seria o de mal humor.,Malhumorado,,,,
Kánne,Sustantivo,Tejido muscular que cubre los huesos.,Carne,,,,
Kansió,Sustantivo,Composición musical que se canta.,Canción,,,,
Kantaora,Sustantivo,"Mujer que interpreta canciones, especialmente tradicionales.",Cantadora,,,,
Kantaso,Verbo infinitivo,Golpear usando la mano o un objeto como chancleta.,Pegar con la mano,Pegar con una chancleta,,,
Kantasóno,Imperativo plural,Golpeen usando la mano o un objeto como una chancleta.,Peguen con la mano,Peguen con una chancleta,,,
Kañanña,Sustantivo,"Energía, fortaleza o determinación para emprender algo.",Fuerza,Emprendedor,,,
Kañañá,Sustantivo,"Parte trasera de la pierna, cerca del pie.",Talón,Jarrete,,,
Kañonguéro,Sustantivo,Persona dedicada al cultivo de la tierra.,Agricultor,,,,
Kapá,Verbo infinitivo,Eliminar la capacidad de reproducción en animales (o personas).,Castrar,,,,
Kapéno,Imperativo plural,Eliminen la capacidad de reproducción en animales.,Castren,,,,
Kapoka,Sustantivo,Persona que influye en otros para realizar algo.,Sonsacador,,,,
Kapuchí,Sustantivo,Cabello en el sentido de estilo o apariencia.,Cabello,,,,
Kapuchichimánga,Sustantivo,Persona de otro país o cultura.,Extranjero,,,,
Kapurí,Adverbio,Algo que estuvo a punto de suceder.,Por poco,Casi,,,
Karabe,Sustantivo,Cuerpo sin vida.,Cadáver,,,,
Kariako,Sustantivo,"Planta comestible, especialmente de color naranja.",Auyama,,,,
Karimba,Sustantivo,Adorno hecho de oro para las orejas.,Arete de oro,,,,
Karrusiáno,Sustantivo,Persona con experiencia en un área.,Experto,,,,
Karumbé,Sustantivo,"Lluvia fuerte, aguacero.",Aguacero,Lluvia fuerte,,,
Kasariámbe,Sustantivo,Lugar destinado al entierro de cuerpos.,Cementerio,,,,
Kaserío,Sustantivo,Conjunto reducido de viviendas agrupadas.,Conjunto pequeño de casas,Invasión,,,
Kasímba,Sustantivo,Depósito pequeño de agua subterránea.,Pozo pequeño para sacar agua,,,,
Kasonário,Sustantivo,Prenda femenina que cubre el torso.,Prenda interior femenina,,,,
Kasube,Adjetivo/Sustantivo,"Pobre, persona con escasos recursos.",Pobre,,,,
Katabre,Sustantivo,Recipiente tejido con fibras naturales.,Canasto,,,,
Katanga,Sustantivo,"Calambre, contracción muscular dolorosa.",Calambre,,,,
Kataplana,Sustantivo,Sustancia aplicada en la piel con fines curativos.,Ungüento,,,,
Kateyáno,Sustantivo,Idioma oficial de España y gran parte de América Latina.,Castellano,,,,
Katigo,Sustantivo,Pena o sufrimiento impuesto como corrección.,Castigo,,,,
Katíya,Sustantivo,Libro pequeño utilizado para aprender a leer.,Cartilla,,,,
Katriá,Verbo infinitivo,Representar palabras o ideas mediante símbolos.,Escribir,,,,
Katriéno,Imperativo plural,Representen palabras o ideas mediante símbolos.,Escriban,,,,
Kattajéna,Sustantivo propio,"Ciudad portuaria de Colombia, famosa por su historia.",Cartagena,,,,
Káya,Sustantivo,Espacio público entre edificios o casas.,Calle,,,,
Kayejó,Sustantivo,Vía angosta entre construcciones.,Callejón,,,,
Kayéye,Sustantivo,Pequeña bola de plátano usada como alimento infantil.,Bola de plátano pequeña para niños,,,,
Ke,Conjunción / Nexo subordinante,Introduce una proposición o cláusula. Conector que introduce cláusulas subordinadas sustantivas de objeto directo o subordinadas adjetivas.,Que,,,,
Kebá,Verbo infinitivo,Acción posible en el pasado condicional.,Hubiera,,,,
Kebéno,Imperativo plural,Realicen una acción posible en el pasado condicional.,Hubieran,,,,
Kelá,Verbo infinitivo,Permanecer en un lugar o situación.,Quedar,,,,
Kelé,Verbo infinitivo,Sentir deseo o intención hacia algo o alguien.,Querer,,,,
Keléno,Imperativo plural,Permanezcan en un lugar o situación.,Queden,,,,
Keléno,Imperativo plural,Sientan deseo o intención hacia algo o alguien.,Quieran,,,,
Kemara,Sustantivo,Lesión causada por calor extremo.,Quemada,,,,
Kemuko,Sustantivo,"Cerveza, bebida alcohólica fermentada.",Cerveza,,,,
Keso,Sustantivo,Producto alimenticio derivado de la leche.,Queso,,,,
Kichiringo,Sustantivo,Abertura en la pared que permite la entrada de luz.,Ventana,,,,
Kiéne,Pronombre,Persona desconocida en una pregunta.,Quién,,,,
Kiñá,Sustantivo,Disputa o pelea entre personas.,Riña,,,,
Kísio,Sustantivo,Parte estrecha donde encaja una puerta o ventana.,Quicio,,,,
Kisisún,Verbo infinitivo,Acto de persistir en algo de manera insistente.,Insistir,,,,
Kisisúnino,Imperativo plural,Persistan en algo de manera insistente.,Insistan,,,,
Kiyá uyá,Expresión idiomática,Ladrido de perro que presagia la muerte.,Ladrido de perro que anuncia la muerte de alguien,,,,
Kochá,Adjetivo / Sustantivo,En gran cantidad o intensidad.,Bastante,,,,
Kofradía,Sustantivo,Organización religiosa de carácter social.,Grupo religioso,,,,
Kojé,Verbo infinitivo,Agarrar algo o alguien con las manos.,Coger,,,,
Kojéno,Imperativo plural,Agarren algo o a alguien con las manos.,Cogan,,,,
Kokiá,Verbo infinitivo,Perseguir a alguien con velocidad.,Corretear,,,,
Kokiéno,Imperativo plural,Persigan a alguien con velocidad.,Correteen,,,,
Koko,Sustantivo,Fruto tropical; también refiere a un rival amoroso victorioso.,Coco,Rival amoroso ganador,,,
Kokoré,Sustantivo,"Estómago, órgano digestivo.",Estómago,,,,
Kokóya,Sustantivo,Parte externa de los genitales femeninos; también refiere a una mujer de vida desordenada.,Labios de la vulva,Vagabunda,,,
Kolá,Verbo infinitivo,Recordar algo o acción de acostarse.,Recordar,Acostarse,,,
Koláo,Sustantivo,Espacio abierto detrás de una casa.,Patio,,,,
Kolasó,Sustantivo,Órgano principal que bombea sangre en el cuerpo.,Corazón,,,,
Kolé,Verbo infinitivo,Movimiento rápido para trasladarse de un lugar a otro.,Correr,,,,
Koléno,Imperativo plural,Recuerden algo o realicen la acción de acostarse.,Recuerden,Acuéstense,,,
Koléno,Imperativo plural,Trasládense rápidamente de un lugar a otro.,Corran,,,,
Kolingó,Número,"Cuatro, cantidad de elementos.",Cuatro,,,,
Kolombia,Sustantivo propio,Nación sudamericana conocida por su biodiversidad y cultura.,Colombia,,,,
Koloráo,Sustantivo / Adjetivo,Persona de piel blanca.,Persona blanca,,,,
Komba,Sustantivo,"Lugar donde habita el pescado, generalmente cuerpos de agua.",Lugar donde vive el pescado,,,,
Kombibí,Verbo infinitivo,Vivir en compañía o armonía con otros.,Convivir,,,,
Kombibíno,Imperativo plural,Vivan en compañía o armonía con otros.,Convivan,,,,
Kombilésa,Sustantivo,Persona con quien se tiene una relación de amistad.,Amigo,,,,
Komensá,Verbo infinitivo,Dar inicio a algo.,Comenzar,,,,
Komenséno,Imperativo plural,Den inicio a algo.,Comiencen,,,,
Komfommá,Verbo infinitivo,Formar parte de un grupo o estructura.,Conformar,,,,
Komfomméno,Imperativo plural,Formen parte de un grupo o estructura.,Conformen,,,,
Kompueto,Adjetivo,Hecho de varios elementos combinados.,Compuesto,,,,
Konbetsá,Verbo infinitivo,Intercambiar ideas mediante el habla.,Conversar,,,,
Konbetséno,Imperativo plural,Intercambien ideas mediante el habla.,Conversen,,,,
Kónkola,Sustantivo,Recipiente elaborado con concha de coco o totumo.,Recipiente,,,,
Konkora,Sustantivo,Pastel relleno de carne de cerdo.,Pastel de cerdo,,,,
Konsiderá,Verbo infinitivo,Reflexionar detenidamente sobre algo.,Considerar,,,,
Konsideréno,Imperativo plural,Reflexionen detenidamente sobre algo.,Consideren,,,,
Konsirerasió,Sustantivo,Actitud de respeto y atención hacia alguien o algo.,Consideración,,,,
Korio / Koriyo,Sustantivo,Parte de la pierna del cerdo.,Codillo,,,,
Koro,Sustantivo,"Codo, articulación del brazo.",Codo,,,,
Koró,Sustantivo,Fruto pequeño y rojo de la palma de corozo.,Corozo,,,,
Koróna,Sustantivo,"Adorno circular usado en la cabeza, símbolo de realeza.",Corona,,,,
Koroto,Sustantivo,Herramientas o utensilios de cocina.,Utensilios de cocina,,,,
Kosécha,Sustantivo,Recolección de productos agrícolas.,Cosecha,,,,
Kotáo,Sustantivo,Parte lateral del cuerpo.,Costado,,,,
Kótea,Sustantivo,Tortuga pequeña de agua dulce.,Hicotea,,,,
Kotía,Sustantivo,"Hueso largo ubicado en el pecho, parte de la caja torácica.",Costilla,,,,
Koto,Adjetivo,Algo que tiene poca longitud o duración.,Corto,,,,
Kotorrera,Sustantivo,Planta medicinal utilizada para infecciones cutáneas.,Planta medicinal,,,,
Kottá,Verbo infinitivo,Dividir o separar en partes.,Cortar,,,,
Kotténo,Imperativo plural,Dividan o separen en partes.,Corten,,,,
Kotúmbre,Sustantivo,Hábitos o tradiciones de una comunidad.,Costumbre,,,,
Koya,Sustantivo,Adorno que se usa alrededor del cuello.,Collar,,,,
Kré,Verbo infinitivo,Tener fe o confianza en algo o alguien.,Creer,,,,
Kreé,Verbo infinitivo,Tener confianza o fe en algo o alguien.,Creer,,,,
Kreéno,Imperativo plural,Tengan confianza o fe en algo o alguien.,Crean,,,,
Kréno,Imperativo plural,Tengan fe o confianza en algo o alguien.,Crean,,,,
Kreo,Sustantivo,Conjunto de principios religiosos.,Credo,,,,
Kribí,Verbo infinitivo,Representar palabras o ideas mediante letras.,Escribir,,,,
Kribíno,Imperativo plural,Representen palabras o ideas mediante letras.,Escriban,,,,
Krinká,Verbo infinitivo,Romper la confianza de alguien.,Traicionar,,,,
Krinkéno,Imperativo plural,Rompan la confianza de alguien.,Traicionen,,,,
Krioyo,Sustantivo / Adjetivo,Relativo a las tradiciones locales o nacido en la región.,Criollo,,,,
